feature,importance
Number,0.17473650722976994
HTTPS,0.13475303332884872
ack_flag_number,0.0978066870204298
Header_Length,0.09212677894088177
IAT,0.0843775292490877
Rate,0.0645802129459975
Tot size,0.06267517767270056
ack_count,0.046670792563086164
AVG,0.04206231384373567
Std,0.03553574109645359
Max,0.031175214165747776
Tot sum,0.03094531237273902
Variance,0.028721620904943432
Time_To_Live,0.019792066155170554
TCP,0.011421324083660339
psh_flag_number,0.008266064242351165
Min,0.008068149485978064
syn_count,0.004831135164273196
UDP,0.0035191030294029657
syn_flag_number,0.002943431066485736
Protocol Type,0.0018236151946699898
HTTP,0.0017768140956659633
rst_count,0.0016982351669304991
DNS,0.0015496843349903596
IPv,0.0014407123662627927
ICMP,0.001360465339436979
rst_flag_number,0.001123426976802314
fin_count,0.0010527523678264187
ARP,0.0008940469530247826
LLC,0.0008586982855932657
fin_flag_number,0.000784368841032963
DHCP,0.00034323677425013776
SSH,0.00014108531929516384
Telnet,8.345958770650044e-05
cwr_flag_number,1.9736170786261637e-05
IRC,1.9155885455241374e-05
ece_flag_number,1.5087453718725837e-05
IGMP,7.224324807979827e-06
SMTP,0.0
